worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filters_num,machine_acc_range
5,5,10,0.20536000000000001,0.08380638639149167,6.202679999999999,0.32759550912672786,Crowd-Ensemble,95.55895814764263,3.3041531244797304,82.35831189867896,10.199756980230074,93.9753644682254,2.5609183116798526,0.0,0.0,0.95,20,1000,10,0.3,4,
5,5,10,0.58322,0.20565546819863553,0.0,0.0,Machines-Ensemble,92.45897210867957,5.970951878654061,46.19063581823944,8.849094874276268,84.2860157510374,5.478647652860192,20.0,0.0,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.20106000000000002,0.05481766503600824,4.15892,0.6074536637472854,Hybrid-Ensemble,96.00158807034845,2.0645863480232363,80.08271220768883,8.766171231477632,94.1442218761752,1.6269517054817928,20.0,0.0,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.7578,0.14078934618784192,0.0,0.0,Machines-Ensemble,88.72354547027227,6.085748012835703,41.18488930184201,6.070126248564817,79.86888490096206,3.9979640935762477,20.0,0.2,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.22442,0.09523089624696389,4.5987599999999995,0.7042719236204151,Hybrid-Ensemble,96.50450330945486,2.7726120555248386,74.8739683290907,11.96464167086562,93.63453594904551,2.4979558756130493,20.0,0.2,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.78482,0.13443685357817622,0.0,0.0,Machines-Ensemble,89.29974709288561,8.083224239779627,38.861665790672404,7.017454908177214,79.13297406713563,4.3620223844680455,20.0,0.3,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.23272,0.08464042532974418,4.75938,0.6825327212669001,Hybrid-Ensemble,96.36674180211293,2.4302003571166053,73.6602108804969,11.881898629368443,93.33232564408308,2.1791624941608183,20.0,0.3,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.79616,0.1489294275823284,0.0,0.0,Machines-Ensemble,90.35630637275733,8.522580486384019,37.42102539868538,4.7711583868608,79.50023804364871,4.711800639361106,20.0,0.5,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.25354000000000004,0.09028227068478062,4.900499999999999,0.6789477520398753,Hybrid-Ensemble,95.97409557039359,3.068115148377852,74.08111651191876,13.855221346597872,92.92505412426922,2.3666937732819298,20.0,0.5,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.76106,0.13354690711506573,0.0,0.0,Machines-Ensemble,93.39939792267143,8.257059212278696,35.064628568260645,5.044470345569175,80.51198378316113,4.389282546877195,20.0,0.7,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.23444000000000007,0.07852901629334216,4.80204,0.47852439687021175,Hybrid-Ensemble,95.6631710984312,3.1835639927438164,76.71844304680269,10.508360515621677,93.2938740245582,2.2049805572319316,20.0,0.7,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.74562,0.125813177370258,0.0,0.0,Machines-Ensemble,94.9993201118862,7.360948011595032,34.07368751795871,3.9985089926119914,81.25927177402015,3.874908488114732,20.0,0.9,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.24468,0.08659848497520035,4.977119999999999,0.5925263416929242,Hybrid-Ensemble,95.47343337714446,3.0838114297561185,77.19007987403154,12.487257236051889,93.06638579274738,2.32083568040359,20.0,0.9,0.95,20,1000,10,0.3,4,"[0.5, 0.8]"
5,5,10,0.20098,0.08465588934031702,6.894380000000001,0.7519203651983366,Crowd-Ensemble,95.56596519106755,3.0023346581459576,84.06550445350396,9.45573137168361,94.18681868066817,2.489313264210493,0.0,0.0,0.95,20,1000,20,0.3,4,
5,5,10,0.56116,0.1526620267126046,0.0,0.0,Machines-Ensemble,92.91424857227508,3.903806897388172,46.46709059210219,6.6331079239941015,84.94949659514992,4.026003265590643,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.19266000000000003,0.05566385182503992,4.9537,0.9479584853779199,Hybrid-Ensemble,96.48533193809959,2.390986486667855,79.48048911130942,9.473484827164214,94.448973032218,1.6138718067551472,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.7431400000000002,0.14580288200169433,0.0,0.0,Machines-Ensemble,88.66626122212361,6.349307610386383,42.299804801991115,6.837806750213767,80.13812929370393,4.115722144138144,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.21117999999999998,0.06334088411129102,5.36612,0.9358448939861777,Hybrid-Ensemble,96.23556788045391,2.5348968141132002,77.3220300473689,9.922973312157467,93.92214041731545,1.8494538431798333,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.7689,0.13363596072913905,0.0,0.0,Machines-Ensemble,89.55489330478264,6.991909828162252,39.60808165476739,6.225196721702381,79.76009338039722,3.8039789678737344,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.22264,0.06376950995577746,5.318380000000001,0.6629074412012586,Hybrid-Ensemble,95.48959303874113,2.5610448265561296,78.78499624458695,7.286357795104974,93.56617242835472,1.9462783352478248,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.79218,0.18272566212768257,0.0,0.0,Machines-Ensemble,91.84007250915522,9.545646270612007,35.57716330593731,5.695958421644612,79.50422106332259,5.404174149860022,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.26333999999999996,0.10253850203703974,6.38638,1.8190167001982143,Hybrid-Ensemble,95.87130378701617,3.3187279227051056,72.06624494916639,13.946187199126573,92.50851815989596,2.8222541508880608,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.7495599999999999,0.13081256208789735,0.0,0.0,Machines-Ensemble,93.80540728443198,7.509929129665128,34.956987288761006,4.192186829321792,80.88918830341271,4.016056550953699,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.25895999999999997,0.10003658530757635,6.44176,1.8063848932052105,Hybrid-Ensemble,96.02102529711549,3.349704812579798,72.72722243655537,14.622623256982408,92.70115958304487,2.699689745093744,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.76814,0.13048954134335822,0.0,0.0,Machines-Ensemble,92.51956871168088,7.887864359372478,35.46212423475968,4.794641248869653,80.17989562776276,4.258806101415027,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.23093999999999998,0.07358543605904637,5.930880000000001,1.3899754334519727,Hybrid-Ensemble,96.12265654539424,2.545421500504306,75.34921909647785,11.76676133634556,93.41334738194642,1.9287285948673178,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.19111999999999998,0.07123444110821675,7.691599999999998,1.0711002194005936,Crowd-Ensemble,96.03297489932537,2.6024302481963275,82.73919584096538,9.206712986673717,94.48706627838168,2.0178602079672943,0.0,0.0,0.95,20,1000,30,0.3,4,
5,5,10,0.5801,0.16423267031866712,0.0,0.0,Machines-Ensemble,92.01949316849979,5.298802995327382,47.33192902482022,6.368123015627845,84.43391541123401,4.176919842564692,20.0,0.0,0.95,20,1000,30,0.3,4,"[0.5, 0.8]"
5,5,10,0.20195999999999997,0.06396841720724376,5.775539999999999,1.923388314511659,Hybrid-Ensemble,96.12824136927067,1.872335359782038,80.34461710248978,9.730161435905227,94.22070856593358,1.691811231626373,20.0,0.0,0.95,20,1000,30,0.3,4,"[0.5, 0.8]"
5,5,10,0.6995600000000002,0.11447675047799008,0.0,0.0,Machines-Ensemble,91.02782389776966,5.329775187094388,41.09687970305133,6.801381943065473,81.46076427347242,3.0991746241774187,20.0,0.2,0.95,20,1000,30,0.3,4,"[0.5, 0.8]"
5,5,10,0.22192,0.07651636164899635,6.9283,2.430732048169851,Hybrid-Ensemble,96.6444878186273,2.6113299673108634,74.3903535502601,12.713418969607652,93.66679357619952,2.050439968967753,20.0,0.2,0.95,20,1000,30,0.3,4,"[0.5, 0.8]"
5,5,10,0.8055,0.14922630465169334,0.0,0.0,Machines-Ensemble,87.63580848704592,8.113426823083397,40.24287307746505,5.931487653847323,78.57465577781306,4.697875997837773,20.0,0.3,0.95,20,1000,30,0.3,4,"[0.5, 0.8]"
5,5,10,0.21898,0.06331460810902963,6.691460000000001,1.6364514683912872,Hybrid-Ensemble,96.3742765025489,2.4760356404917303,75.31866417411901,10.146754298696244,93.7314167130484,1.845528736203705,20.0,0.3,0.95,20,1000,30,0.3,4,"[0.5, 0.8]"
5,5,10,0.79342,0.11742403331516081,0.0,0.0,Machines-Ensemble,91.24453154264378,7.262115217492664,35.76542464315111,4.792929587613496,79.45032827756695,3.7664014269491357,20.0,0.5,0.95,20,1000,30,0.3,4,"[0.5, 0.8]"
