Nt,J,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,tests_num,corr,select_conf,baseline_items,total_items,expert_cost,theta,filetrs_num
5,3,10,0.3165,0.14060757447591504,5.9735000000000005,0.856229017261153,Crowd-Ensemble,97.7661533834367,2.467640655139088,58.94673323478694,13.854558083971984,91.43043184443815,3.435441578764183,0.0,0.0,0.95,20,1000,10,0.3,4
5,3,10,0.15016000000000002,0.09556073670708069,0.0,0.0,Machines-Ensemble,99.26447444235873,0.7058896697327047,72.88810538970789,12.563715317263554,95.79106018849176,2.5955477826754905,50.0,0.0,0.95,20,1000,10,0.3,4
5,3,10,0.0817,0.06147430357474576,2.9426199999999993,0.4885393286113207,Hybrid-Ensemble,98.46626105591626,1.7212380386200965,91.28615054112763,9.416285606943188,97.62176387324375,1.7676284804479407,50.0,0.0,0.95,20,1000,10,0.3,4
5,3,10,0.28512,0.10903992663240379,0.0,0.0,Machines-Ensemble,94.30287060891862,2.3181898772440652,73.99663621327687,8.814445398597355,91.89720659465682,3.027093325304871,50.0,0.2,0.95,20,1000,10,0.3,4
5,3,10,0.08949999999999997,0.04996048438516184,3.1052999999999997,0.3181525577454942,Hybrid-Ensemble,98.28166604498696,1.5956212796712792,89.81610754936818,5.414010163812998,97.39750524111825,1.476716067434485,50.0,0.2,0.95,20,1000,10,0.3,4
5,3,10,0.48605999999999994,0.14290520074510935,0.0,0.0,Machines-Ensemble,88.34574113009198,3.4244181941194194,69.67477933129788,10.82984054988406,86.03141320162057,3.9173480525784314,50.0,0.3,0.95,20,1000,10,0.3,4
5,3,10,0.13072,0.06131461163540058,3.5088200000000005,0.6228174271807108,Hybrid-Ensemble,97.78927206221648,1.5622659090058368,84.61678141212242,10.876881821871597,96.19872441451153,1.7399183267106537,50.0,0.3,0.95,20,1000,10,0.3,4
5,3,10,1.05088,0.35391245471161364,0.0,0.0,Machines-Ensemble,69.31193138296227,10.984041808285525,68.35045293797705,11.183021441795534,69.13774346558974,10.759985717735098,50.0,0.5,0.95,20,1000,10,0.3,4
5,3,10,0.14237999999999998,0.05191796991408659,3.87244,0.6251909519498823,Hybrid-Ensemble,97.68941238350806,1.8268621898799626,81.6178395397711,6.4397085062310095,95.89871810557071,1.5094457402936197,50.0,0.5,0.95,20,1000,10,0.3,4
5,3,10,1.57328,0.47518476574907154,0.0,0.0,Machines-Ensemble,52.50813489872297,15.750366026555854,65.25781249372695,11.676860373909113,53.02700192191347,14.306284650919281,50.0,0.7,0.95,20,1000,10,0.3,4
5,3,10,0.17778000000000002,0.06674347608568197,4.29894,0.6855057522734583,Hybrid-Ensemble,97.49573305455144,1.9203513411775273,76.11710069134729,7.948369927018736,94.94704394631638,1.894079940231288,50.0,0.7,0.95,20,1000,10,0.3,4
5,3,10,1.8257400000000001,0.5240476241716969,0.0,0.0,Machines-Ensemble,43.41709627188168,19.5975697112809,64.49033957128319,14.389210942125477,43.797967642350244,17.038939826867168,50.0,0.9,0.95,20,1000,10,0.3,4
5,3,10,0.20776000000000003,0.08623191056679655,4.416880000000001,0.8031845775411776,Hybrid-Ensemble,96.89476274728445,2.7628821484283184,74.15192203927838,10.198404875621003,94.01626222952795,2.4936710533967066,50.0,0.9,0.95,20,1000,10,0.3,4
5,3,10,0.28303999999999996,0.13558450648949533,7.97726,2.3129719739763384,Crowd-Ensemble,97.79885147983265,1.9801514934416418,62.87006252786897,15.35879218642319,92.2373169281374,3.4489493884096936,0.0,0.0,0.95,20,1000,20,0.3,4
5,3,10,0.14762000000000003,0.09754524898732894,0.0,0.0,Machines-Ensemble,99.29474536111945,0.6880807232137408,73.33719503810853,12.230513782326904,95.90551300539126,2.55968120245094,50.0,0.0,0.95,20,1000,20,0.3,4
5,3,10,0.07802,0.0635812834095066,3.11944,0.8209428277291909,Hybrid-Ensemble,98.40081043449935,1.9767667863697167,92.20043925507042,6.741897104657538,97.73130773883811,1.8459952008963878,50.0,0.0,0.95,20,1000,20,0.3,4
